s,a
0	,21.370270
1	,21.342691
2	,22.241957
3	,23.611013
4	,24.586697
5	,25.010397
6	,25.417358
7	,26.562840
8	,28.588997
9	,30.749386
10	,32.676880
11	,34.749176
12	,37.549900
13	,41.267147
14	,44.548950
15	,46.409306
16	,46.754898
17	,46.350979
18	,46.411598
19	,46.741055
20	,46.673916
21	,46.356030
22	,46.353706
23	,46.977444
24	,47.473064
25	,47.228897
26	,46.590229
27	,45.909676
28	,46.030243
29	,46.795380
30	,48.007820
31	,49.868343
32	,52.863163
33	,57.252693
34	,62.610199
35	,68.194748
36	,73.488121
37	,78.187920
38	,82.406975
39	,86.231018
40	,89.494705
41	,92.118629
42	,93.945511
43	,95.043022
44	,95.689774
45	,95.671936
46	,95.274216
47	,94.867767
48	,94.888290
49	,95.841805
50	,97.670647
51	,100.470619
52	,103.819351
53	,106.991081
54	,109.512512
55	,110.910950
56	,111.690742
57	,112.407684
58	,113.439583
59	,115.025780
60	,116.805916
61	,119.371407
62	,123.968086
63	,130.889297
64	,139.543732
65	,147.445801
66	,153.244080
67	,158.000122
68	,162.957779
69	,169.041473
70	,176.522095
71	,-173.900620
72	,-159.634232
73	,-139.599655
74	,-115.644310
75	,-90.740532
